#Classification strategy
#(0) Hopeless
#(1) Arcs or arc constraints (basically anything with scintles resolved in time)
#(2) f_scint constraints (observable scint, not resolved in time)
#(3) Needs a re-do with different filtering pars
#(4) = 1+3), Arcs, but needs a re-do
#(5) = 2+3), f_scint, but needs a re-do
#(6) Borderline, or unsure

#PSRNAME CLASS
J1815-1738 0
J1816-0755 0
J1816-1729 0
J1816-5643 2
J1817-3618 4
J1817-3837 1
J1818-0151 3
J1818-1422 0
J1819+1305 3
J1819-0925 0
J1819-1008 0
J1819-1114 0
J1819-1458 3
J1819-1510 0
J1819-1717 0
J1820-0427 1
J1820-0509 3
J1820-1346 0
J1820-1529 0
J1820-1818 0
J1821+1715 2
J1821-0256 0
J1821-0331 0
J1821-1432 3
J1822+0705 4
J1822-1400 0
J1822-4209 1
J1823+0550 2
J1823-0154 0
J1823-3106 2
J1824-0132 0
J1824-1118 0
J1824-1159 0
J1824-1945 3
J1825+0004 1
J1825-0935 1
J1825-1446 0
J1826-1131 3
J1826-1419 3
J1827-0934 0
J1827-0958 0
J1828+1359 0
J1828-0611 0
J1828-1007 0
J1828-1057 0
J1828-1101 0
J1828-2119 0
J1829+0000 0
J1829-0734 0
J1829-1751 6
J1830-1059 0
J1831-0952 0
J1832-0644 0
J1832-0827 0
J1832-1021 0
J1833-0559 0
J1833-0827 0
J1834-0010 0
J1834-0031 0
J1834-0426 1
J1834-0731 0
J1834-0742 0
J1834-1202 0
J1835-0349 0
J1835-0643 0
J1835-09242 0
J1835-0944 0
J1835-1020 0
J1835-1106 0
J1836-0436 0
J1836-1008 6
J1836-1324 0
J1837+1221 3
J1837-0045 4
J1837-0559 0
J1837-0604 0
J1837-0822 0
J1837-1837 0
J1838+1523 5
J1838+1650 5
J1838-0453 0
J1838-0549 0
J1839-0141 3
J1839-0223 3
J1839-0321 0
J1839-0332 3
J1839-0402 0
J1839-0436 0
J1839-0459 0
J1839-0643 0
J1839-0905 0
J1839-1238 3
J1840+0214 0
J1840-0559 0
J1840-0643 0
J1840-0809 0
J1840-0815 0
J1840-1122 3
J1840-1207 0
J1840-1419 4
J1841+0912 2
J1841-0157 3
J1841-0345 0
J1841-0425 0
J1841-0500 0
J1841-0524 0
J1841-7845 0
J1842+0358 0
J1842+0638 0
J1842+1332 2
J1842-0153 0
J1842-0359 3
J1842-0415 3
J1842-0800 3
J1842-0905 0
J1843-0000 0
J1843-0137 0
J1843-0355 0
J1843-0459 0
J1843-0510 3
J1843-0702 0
J1843-0744 0
J1843-0806 0
J1843-1507 0
J1844+1454 1
J1844-0030 0
J1844-0244 0
J1844-0302 0
J1844-0433 0
J1844-0452 0
J1844-0538 0
